,filename,ID,Result,AA_Rationale,AA_Factor,AD_Rationale,AD_Factor,RA_Rationale,RA_Factor,RD_Rationale,RD_Factor
0,"201607/臺灣新北地方法院民事/PCDV,104,家聲抗,144,20160721,1.json",46_11_4da0b5,b,能善盡養育及照顧乙○○之責，具有良好教養能力，其收入可負擔自身及乙○○生活所需。係於與抗告人丙○○發生爭執後，在抗告人丙○○叫其滾出去之情況下，始自行離家，致與乙○○長期分居二處，而單獨由抗告人丙○○繼續養育，此一結果顯然不能完全歸責於抗告人甲○○,"親子感情,意願能力,父母生活,父母經濟",既久未與其子女共同生活，對於其子女之個性、身心狀況、人格傾向，恐較欠缺足夠之瞭解，對其子女品行、身心、教育、道德倫常之教育輔導，其能否順利進行，亦恐生較多變數，此對其子女之成長自較為不利。隻身在臺，無其他親友可協助照顧乙○○,"支持系統,親子感情,父母品行,父母生活",於擔任未成年子女乙○○之主要照顧者期間，有固定工作，除乙○○之健保費外，由抗告人丙○○單獨負起扶養之義務，親自接送乙○○至學校，用心送醫治療乙○○之妥瑞氏症，對乙○○日常生活起居等細節之照顧無任何不當之處，就現狀而言，乙○○與相對人間之親子互動關係較為緊密等情未成年子女乙○○已清楚表達接受由抗告人丙○○行使或負擔其權利義務之意願。未成年子女乙○○已明確表明意願，希望與抗告人丙○○同住，基於子女意願之尊重，客觀上亦不便於由兩造共同任子女親權人，因此認共同行使子女親權反不利於子女，自不宜由兩造共同行使對於乙○○之親權。,"親子感情,父母經濟,子女意願,意願能力,主要照顧",,
1,"201510/臺灣臺北地方法院民事/TPDV,103,家婚聲,40,20151006,1.json",09_07_6ceb39,c,經濟狀況穩定，身心健康狀況尚可，有支持系統可協助照顧子女，且為未成年子女之主要照顧者，與未成年子女有良好依附關係,"親子感情,支持系統,父母經濟,父母健康,主要照顧",在婚前並未做好良好的規劃，且未能與被告進行良好溝通，未有作為善意父母之積極作為，且未有協助未成年子女與聲請人正向情感連結之意願，對於子女未來照顧計畫薄弱。對於子女目前身心發展了解有限，且缺乏實際照顧子女之想法，其未來照顧計畫薄弱，並未能考量案祖母在照顧未成年子女時，其體力能否負荷,"親子感情,支持系統,意願能力,人格發展,友善父母",身心狀況尚稱健康，且有支持系統可協助照顧子女,"父母健康,意願能力,支持系統",未有協助未成年子女與聲請人正向情感連結之意願，對於子女未來照顧計畫薄弱經濟狀況仍未穩定面對未能掌握子女訊息時，亦有緊張之情緒，其行為反應亦造成他人壓力，未來亦恐影響子女身心健康。,"親子感情,意願能力,友善父母,父母經濟"
2,"201504/臺灣高雄少年及家事法院民事/KSYV,102,家親聲,611,20150407,1.json",21_19_6fde08,b,其在經濟上有足夠能力能照顧被監護人，加上原告家人均會協助，被告會灌輸不良價值觀與被監護人，導致被監護人對原告產生負向觀感，互動不佳，監護動機強烈對被監護人教育規劃，尊重被監護人的學習意願，據原告表示與被監護人間互動關係良好，原告以照片呈現與被監護人互動狀況和樂，會以溝通的方式管教被監護人，並會依被監護人就讀狀況給予適當教育規劃，只要被監護人願意讀就會栽培與被監護人互動關係尚良好，教育及管教被監護人部份均會協助教導，且只要一有時間均會帶被監護人外出走走未來對於被監護人重視其教育培育，表示願意盡力栽培，其親職能力有發揮空間。,"親子感情,支持系統,父母經濟,意願能力,人格發展",自從被告將被監護人帶返台後，原告前往探視認為被告均會刻意阻止，因此導致其依附關係較薄弱，未來需增加其親子互動關係，將有助於提升情感依附。目前對其被監護人生活狀況皆不清楚，會前往被監護人幼稚園探視被監護人，但認為被告刻意阻攔探視，導致與被監護人關係相處較少自述被告刻意阻止探視導致與被監護人互動機會較少，無法建立親子關係，另被監護人見到兩造爭執狀況，導致與原告關係較為疏離、衝突，加上被監護人尚年幼，生活照料上均由被告及被告家人照顧，與被告依附關係緊密，因此評估在監護權上被告優於原告未成年子女於此稚齡時期，較需母愛關懷撫育及穩定之成長環境，前於_SpecificMonth_即因父母分居而與反請求聲請人甲○○返臺住居迄今，若率然變更其成長環境，恐將影響未成年子女之身心發展，自屬對子女之負面影響，不利於子女之成長,"子女年齡,親子感情,支持系統,人格發展,友善父母",被監護人從小都是自己在照顧目前經濟上有能力照顧被監護人，加上認為原告有暴力行為無法勝任照顧被監護人之責任，其監護動機強烈。於訪視過程中，被監護人均依偎在被告身旁玩耍。透過單獨訪視被監護人，被監護人表示喜歡目前生活。對於管教子女以民主方式溝通，以講述道理及適當處罰來教導被監護人，教育上尊重其意願，期待自己有能力能帶被監護人出國讀書，但重視品行，表示有能力會盡力栽培之，對被監護人之教養良善。目前負擔被監護人的照顧責任，被告表示與被監護人互動良好，社工觀察被監護人於訪視期間，自在的在旁玩耍，彼此互動輕鬆，表現自在，不時會依偎在被告身邊，再加上目前被監護人生活上都由被告及被告家人照顧，故與被監護人的情感依附較為緊密。對於管教子女的方式以民主理性溝通方式進行，對被監護人目前生活狀況亦甚暸解，生活照料均由被告及被告家人照顧，會以溝通方式適時瞭解被監護人狀況，且對被監護人未來教育上能尊重其意願及自由發展，重視其品行，其教養觀念正確，其親職能力良好。目前為被監護人的主要照顧者，工作時間能配合被監護人之作息，雖經濟及家庭支持系統上是原告優於被告，但被告仍有被告大姐的協助與支持，在客觀條件上有適任之條件,"親子感情,父母生活,支持系統,父母經濟,子女意願,父母品行,意願能力,人格發展,父母職業,主要照顧",,
3,"201611/臺灣彰化地方法院民事/CHDV,104,家親聲,340,20161104,1.json",24_18_6003f3,a,黃文霖明確表示希望與案母住在一起。案娘家環境、生活機能及提供案主之支持、協助，目前生活狀況穩定，且案主對於案子女之教養亦皆有階段性之規劃未成年子女黃薪晏、黃文霖分別為_AgesYear_及_AgesYear_，理解及表達能力清晰，能充分表達願，其等目前生活及就學狀況良好，且明確表達與聲請人同住之意願,"子女年齡,親子感情,支持系統,子女意願,意願能力",案母聲請暫時保護令後將案主們帶回新北市，並將案主們學籍轉至秀蘭國小就讀，完全未顧慮到案主們課業及在新環境是否能適應，讓案父覺得案母作法欠周全。,"親子感情,父母品行",為案主們所安排之居住處為案祖父持有，案祖父受訪時亦表示樂意協助照顧案主們生活起居，因此，案父的教養能力、滿足案主們基本物質需求、提供居住成長環境及協助教養功能方面均有正向評估。黃薪晏明確表示希望與案父在一起生活,"子女意願,意願能力,支持系統,父母經濟",案夫於過往兩造發生衝突時，全然不會顧及當下子女是否在場，除逕自大聲咆哮、謾罵外，甚至還出現翻桌，持刀揮舞之舉，此行為皆造成案主及其子女莫大之恐懼，加上案夫過往鮮少照顧和陪伴子女,"親子感情,意願能力,父母品行,父母生活"
4,"201707/臺灣臺中地方法院民事/TCDV,106,家簡,19,20170712,1.json",39_23_d30026,a,未成年子女王焌剛係居住於原告之住處維持兩造未成年子女王焌剛目前之生活型態，最符合未成年子女王焌剛之最佳利益,"主要照顧,父母生活",原告行使未成年子女之親權意願低落,意願能力,被告仍有行使未成年子女親權之意願本案未成年子女現年_AgesYear_，本會認為應尊重未成年子女主觀利益，故建議本案宜裁定由被告單方行使未成年子女之親權,"子女意願,意願能力",,
5,"201506/臺灣新北地方法院民事/PCDV,103,婚,740,20150622,2.json",50_19_511600,a,親屬依附關係皆親密良好，親屬互動關係良好。故依幼兒從母、現狀維持原則、親職能力等面向評估，由聲請人甲○○單獨行使未成人親權並無不合宜之處。本院審酌兩造所生之女丙○○現年為_AgesYear_之稚齡幼兒，亟需親人貼近之關懷、照顧及教養，而丙○○自出生迄今均由聲請人甲○○擔任主要照顧者，業與丙○○產生深厚之情感依附關係；是兩造所生未成年子女丙○○為女性，現年_AgesYear_餘，正需母愛之關懷與照拂，且與聲請聲請人甲○○為相同性別，在其成長過程，甲○○可提供較多自身經驗，有利丙○○之性別認同、身心發展是兩造未成年子女丙○○自出生迄今既均由聲請人甲○○擔任主要照顧者，已與聲請人甲○○產生深厚之情感依附關係，併參以學理上主要照顧者、最小變動及幼年從母、同性原則等原理原則等一切情狀，認兩造所生未成年子女丙○○權利義務之行使或負擔，酌定由聲請人甲○○單獨任之，符合子女之最佳利益，,"子女年齡,親子感情,支持系統,意願能力,人格發展,主要照顧",,,綜上所述，相對人乙○○於教養能力、經濟能力及支持系統等方面皆穩定，且具監護意願，監護動機亦為正向目的。,"意願能力,支持系統,父母經濟",惟於兩造同住期間鮮少照顧、陪伴丙○○，於_SpecificDate_兩造分居後，未再親身照顧陪伴，顯見相對人乙○○與丙○○間之親子關係疏離。,"親子感情,父母生活"
6,"201711/臺灣士林地方法院民事/SLDV,105,婚,79,20171130,1.json",14_40_66ead9,a,案主一直是由原告主責照顧，原告有實質照顧案主之經驗，且用心呵護及無微不至照顧案主，故評估原告有積極之意願及行動力承擔監護案主之責。與案主間的親子關係良好、正向，彼此間有建立深厚程度之親情依附情感。案主清楚表達與原告同住生活之意願，明顯認同及信任原告，對持續由原告養育她是為放心，案主亦指出原告確實親自照顧她的生活，並一直陪伴在身旁給予關心呵護；評估原告之經濟能力是為優渥，具備供應案主良善穩定的生活，可讓案主需求獲得正常無礙且充裕案主權利義務之行使與負擔，原告無不當勝任之處，原告可單方勝任案主監護人角色一職。,"子女意願,親子感情,意願能力,父母經濟",,,於經濟能力、支持系統、親權意願、教育規劃等方面具良好能力於經濟能力及支持系統等方面均具單獨照護未成年子女俞悅之條件，且皆有監護之強烈意願。,"親子感情,意願能力,支持系統,父母經濟",,
7,"201704/臺灣高雄少年及家事法院民事/KSYV,105,家親聲抗,35,20170411,1.json",41_22_ca73ab,b,經濟方面，依兩造目前自述工作及薪資收入，評估兩造均有一定經濟能力扶養被監護人，應可維持被監護人基本生活需求。親屬資源方面，兩造均有充足的親屬資源可協助照顧被監護人生活起居。聲請人（即抗告人，下均同）在親職教養上態度積極，參與許多親職教育，親職教養計畫課程，並對於資源轉介也積極配合。聲請人雖有些時日未能與未成年子女見面，但目前探視狀況良好，未成年子女對於聲請人也未有任何負向評價，喜歡與聲請人出遊互動，並感到放鬆。,"親子感情,支持系統,父母經濟,子女意願,意願能力,主要照顧",,,經濟方面，依兩造目前自述工作及薪資收入，評估兩造均有一定經濟能力扶養被監護人，應可維持被監護人基本生活需求。親屬資源方面，兩造均有充足的親屬資源可協助照顧被監護人生活起居。未成年子女自幼即由相對人及其母親擔任主要照顧者，對於未成年子女之生活起居及課業指導上皆不遺餘力。相對人與未成年子女有深厚之依附關係，也對於未成年子女之身心狀態及其個性特質等皆有了解，就繼續性原則及環境適應性而言，宜繼續由相對人照顧本案未成年子女現於相對人照顧下，未有明顯遭受身心不利對待之情事。,"親子感情,支持系統,父母經濟,意願能力,主要照顧",相對人易與未成子女談論聲請人的缺失，易形成未成年子女忠誠議題而影響內在認同及親子互動。」,"親子感情,意願能力"
8,"201501/臺灣新北地方法院民事/PCDV,103,婚,561,20150123,2.json",47_39_e166da,b,以往聲請人會主動陪伴及協助照料案主生活，惟隨著兩造關係變差，聲請人似遭相對人阻擾而難與案主接觸往來，然聲請人利用閒暇時間試圖與案主對話互動，因此評估聲請人尚有心維持與案主之親子關係聲請人對案主言行及作息的觀察注意，又其尚能具體陳述案主之前的學習情況，可知聲請人應會主動關心及參與處理案主生活及學校事務，評估聲請人之親職能力不差，聲請人從事電子業，薪資收入不低且無惡性負債，又所住房屋為自有而無需房貸或房租支出，因此評估聲請人之經濟能力佳，故建議協調裁判兩造雙方分攤支付扶養費，以盡為人父母養育子女的責任，亦確保提供案主之生活及教育無虞聲請人認為相對人妨礙父女親情培養，並其情緒化且刻意傳遞關於聲請人方之負面訊息予案主的作為，不僅造成聲請人與案主間的隔閡，更為不當教養，因此聲請人希望能單獨監護案主，未來不會變更現案主的居住與就學，案祖父母則為協助照顧者，評估聲請人具備監護意願及行動力。,"親子感情,支持系統,父母經濟,父母品行,意願能力,主要照顧,友善父母",因對造所限而父女間難以親近交心。兒少瑞好清楚表示希望由母親監護,"親子感情,友善父母",案主表達習慣由相對人照顧生活及一起行動，言談間表現出對相對人的依賴與信任。丙○○之生活起居均由相對人照料，丙○○與相對人之依附關係較深。相對人平時與兒少常有互動，依附關係緊密，未來也希望持續照顧兒少，監護動機強烈。相對人娘家無論室內室外均有足夠的活動空間，可讓兒少玩耍、活動，且住處鄰近學區，生活機能佳。兒少自出生以來，由相對人擔任主要照顧者，對於兒少的喜好相當了解，再者由兒少的發展與表現來看，可得知相對人非常用心在規劃與教育兒少。相對人娘家提供住處，未來也願意協助照顧兒少，支持系統穩固。,"親子感情,父母生活,支持系統,子女意願,意願能力,主要照顧",,
9,"201704/臺灣屏東地方法院民事/PTDV,105,家親聲,327,20170428,1.json",16_03_63d925,a,親權能力、親職時間及照護環境均屬良好，受監護人外祖母亦能提供協助，受監護人亦表達與聲請人同住意願，聲請人適任親權人訪視評估報告足稽，斟酌上情，兩造之監護意願或屬相當惟未成年子女甲○○與聲請人同住多時，受照護情況良好，,"親子感情,父母生活,支持系統,子女意願,意願能力",,,雖經濟能力佳、非正式資源充足訪視評估報告足稽，斟酌上情，兩造之監護意願或屬相當,"意願能力,父母經濟",表示自兒少出生迄今，除前3年外，相對人與兒少互動微乎其微，對兒少個性及身心需求亦不了解，但在爭取兒少監護責任、了解兒少身心發展、照顧能力上均不適任兒少監護人，且相對人未實際與兒少共同生活，在關係建立上需花更多時間和精力，若兒少離開長期居住環境與相對人同住，也會對兒少身心產生負面影響等語對於由聲請人擔任親權人表示不爭執,"親子感情,友善父母,人格發展"
